(48.01540713097982, -122.54005201591399, 4, 7, -221)
(48.01540724636618, -122.5400518952618, 4, 7, -239)
(48.01540715037239, -122.54005201757823, 4, 7, -169)
(48.01540721924171, -122.54005190029935, 4, 7, -201)
(48.01540718070227, -122.54005191309989, 4, 7, -205)
(48.01540923438075, -122.5400510458694, 4, 7, -39)
(48.01541224524598, -122.54004950847975, 4, 7, -119)
(48.01541309795177, -122.54004951769288, 4, 7, -124)
(48.015417183495934, -122.54004695775055, 4, 7, -18)
(48.01542240648195, -122.54004425601039, 4, 7, -70)
(48.015426509136404, -122.54004264719863, 4, 7, -99)
(48.015430017732854, -122.54004164405428, 4, 7, -164)
(48.015434367905215, -122.54003941833298, 4, 7, -106)
(48.01543967312345, -122.54003703506267, 4, 7, 65)
(48.0154450710152, -122.54003429060822, 4, 7, -63)
(48.01544970892611, -122.54003218082096, 4, 6, -96)
(48.01545616695995, -122.54002926722269, 4, 6, 31)
(48.01546227204708, -122.54002647119695, 4, 6, -159)
(48.01546824596645, -122.54002378456893, 4, 6, 19)
(48.0154735253673, -122.54002117640967, 4, 6, -57)
(48.01547933097308, -122.54001867261977, 4, 7, 9)
(48.01548509200715, -122.5400157369426, 4, 7, -145)
(48.01549030632253, -122.54001446560213, 4, 7, -22)
(48.01549657432974, -122.5400121910085, 4, 7, -194)
(48.01550097785107, -122.54001003069484, 4, 7, -76)
(48.015507627306064, -122.54000712732774, 4, 6, -217)
(48.01551236310751, -122.54000578076868, 4, 6, 9)
(48.01551919639459, -122.54000301522142, 4, 6, -19)
(48.015527131584086, -122.53999978503634, 4, 6, 8)
(48.015533230612206, -122.53999719942797, 4, 6, -56)
(48.01553911882876, -122.53999478081967, 4, 6, 33)
(48.01554564698812, -122.5399917508251, 4, 6, -94)
(48.01555238214139, -122.53998912213844, 4, 6, -154)
(48.01555899027867, -122.53998629097629, 4, 6, -96)
(48.01555223304846, -122.53998827844224, 3, 6, -61)
(48.0155624155869, -122.53998414772282, 3, 6, -88)
(48.015578235936374, -122.53997813028812, 4, 6, -89)
(48.01558527817764, -122.53997463285666, 4, 6, -150)
(48.015592818140554, -122.53997161060566, 4, 6, -174)
(48.015600192963305, -122.53996839511576, 4, 6, -121)
(48.01560607101189, -122.53996627382165, 4, 6, -152)
(48.01561224470684, -122.53996365569893, 4, 6, -226)
(48.01561842850141, -122.53996117258396, 4, 6, -158)
(48.01562520007667, -122.53995863020354, 4, 6, -80)
(48.01563266195028, -122.5399556158439, 4, 6, -61)
(48.01563852114565, -122.5399529545987, 4, 6, -111)
(48.015644392931186, -122.53995010584237, 4, 6, -359)
(48.01565043548804, -122.53994770751599, 4, 6, -230)
(48.01565648738664, -122.53994547882652, 4, 6, -171)
(48.01566218734154, -122.53994357695655, 4, 6, -160)
(48.015667615156836, -122.53994146621822, 4, 6, -211)
(48.01567192208338, -122.53994016880701, 4, 6, -165)
(48.015676942145696, -122.53993820169904, 4, 6, -320)
(48.015683282071414, -122.53993592272866, 4, 7, -294)
(48.0156892530397, -122.53993379280084, 4, 6, -124)
