Latitude,Longitude,Flag
48.01601023203899,-122.53978330592994,4
48.016010247397816,-122.53978329755246,4
48.01601025158642,-122.53978328261874,4
48.01601025314684,-122.53978326830199,4
48.016010252228156,-122.5397832547466,4
48.016010266745454,-122.53978324645283,4
48.01601027672184,-122.53978324389612,4
48.01601026643385,-122.53978323976598,4
48.01601025657099,-122.53978323608219,4
48.016010265760414,-122.53978325010894,4
48.01601025517516,-122.53978325663037,4
48.0160102538201,-122.53978324895438,4
48.01601025720877,-122.53978324379332,4
48.01601026588798,-122.5397832322352,4
48.016010254777385,-122.53978323403915,4
48.016010242771834,-122.53978322113765,4
48.01601023997538,-122.5397832247717,4
48.016010234400966,-122.53978320935487,4
48.016010232646465,-122.5397831641206,4
48.01601021124192,-122.5397831656926,4
48.01601012554825,-122.53978332607642,4
48.01601017444595,-122.53978331033875,4
48.01601015873404,-122.53978333593847,4
48.01601015154714,-122.53978334882511,4
48.01601016296124,-122.53978332890298,4
48.01601018558867,-122.53978327776746,4
48.01601019923229,-122.53978320144266,4
48.016010230460246,-122.5397830905629,4
48.0160102491459,-122.53978304975055,4
48.016010204751275,-122.5397830769314,4
48.01601018291772,-122.539783170691,4
48.01601021156066,-122.5397833241294,4
48.01601022087718,-122.53978346953785,4
48.01601016074654,-122.53978345256667,4
48.01601008666507,-122.5397834092511,4
48.016010036313865,-122.53978345062026,4
48.016010004897716,-122.53978343920647,4
48.01600998286639,-122.53978342284825,4
48.01600999867711,-122.53978339082293,4
48.01601003916204,-122.53978338572134,4
48.016010100357555,-122.5397834138958,4
48.01601015711292,-122.53978348573095,4
48.01601017628768,-122.53978356963273,4
48.01601011255492,-122.53978373249211,4
48.016010099084454,-122.53978379986405,4
48.01601005740903,-122.53978385150954,4
48.01601002238418,-122.53978399352849,4
48.01601000087558,-122.53978407450693,4
48.01600998296466,-122.53978411820775,4
48.01601000518102,-122.53978414373101,4
48.01601002749246,-122.53978410030922,4
48.01601002194462,-122.53978404584889,4
48.01601001718992,-122.53978402871682,4
48.01601003384768,-122.53978396490123,4
48.01601001946659,-122.53978393964205,4
48.01600999155493,-122.5397838988595,4
48.01600995934184,-122.53978387453635,4
48.01600998944585,-122.5397838230729,4
48.0160100011759,-122.53978376620935,4
48.01600999508865,-122.53978377260252,4
48.016009978517815,-122.53978379625822,4
48.01600998321244,-122.53978381902905,4
48.0160099706733,-122.53978383069953,4
48.01600994104057,-122.53978383150212,4
48.016009972147785,-122.53978374770907,4
48.016009983145835,-122.5397836954721,4
48.01600997346994,-122.5397836412444,4
48.016009979296655,-122.53978358734061,4
48.01600998134631,-122.53978363069271,4
48.016009976251794,-122.53978361213741,4
48.01600995890803,-122.5397836172475,4
48.0160099385536,-122.5397836072174,4
48.016009941943,-122.53978356923221,4
48.016009916799185,-122.53978356793941,4
48.016009946632224,-122.5397835327457,4
48.016009968842425,-122.53978351174258,4
48.01600997654903,-122.53978353325795,4
48.016010032787385,-122.53978355026766,4
48.016010069181306,-122.53978356363973,4
48.01601006362334,-122.53978355008736,4
48.01601003412342,-122.53978356473561,4
48.016009993712586,-122.53978356716469,4
48.01600995377417,-122.53978356097434,4
48.01600991842148,-122.53978356975473,4
48.01600991309972,-122.53978357322335,4
48.016009927537226,-122.53978356749634,4
48.01600995116582,-122.53978354566807,4
48.016009978290796,-122.53978354393392,4
48.01600999520751,-122.53978353871105,4
48.01600999155762,-122.53978353997543,4
48.01601000430093,-122.53978353493935,4
48.01600999401062,-122.53978355267246,4
48.01600998348043,-122.53978354868791,4
48.01600997569488,-122.5397835519789,4
48.01600995612641,-122.53978357382387,4
48.01600995533876,-122.53978358082236,4
48.0160099682141,-122.53978357856192,4
48.0160099698164,-122.53978355688382,4
48.01600997737858,-122.53978355700104,4
48.016009973879,-122.53978358075403,4
48.016009975237225,-122.53978357574448,4
48.016009962199554,-122.5397835972217,4
48.01600996967807,-122.53978359203977,4
48.01600995499826,-122.5397836036594,4
48.016009958028924,-122.53978360271877,4
48.016009959721984,-122.5397836059981,4
48.016009954474235,-122.5397836149156,4
48.01600997335445,-122.53978359977897,4
48.016009980909665,-122.53978360691937,4
48.016009983192454,-122.53978361306132,4
48.01600999801458,-122.53978360579679,4
48.016009993241546,-122.53978359818264,4
48.01600999554188,-122.53978358700245,4
48.01600997188452,-122.53978359241889,4
48.016009967604404,-122.5397835874575,4
48.01600996378873,-122.539783596389,4
48.01600998691061,-122.53978355763145,4
48.01600998571068,-122.53978352886156,4
48.01600998110243,-122.53978355342747,4
48.01600998235182,-122.53978351213398,4
48.01600995233423,-122.53978349276765,4
48.01600994744211,-122.53978346209169,4
48.01600993101632,-122.53978345657826,4
48.0160099492692,-122.53978341344975,4
48.016009953013146,-122.53978341397718,4
48.01600996273933,-122.53978339028555,4
48.01600995564534,-122.53978338637744,4
48.0160100022101,-122.5397833366071,4
48.01600998798845,-122.53978330145507,4
48.01600996674542,-122.53978332550315,4
48.01600996893349,-122.53978330544565,4
48.016009968744854,-122.53978329237125,4
48.01600996161442,-122.53978328905343,4
48.016009953049604,-122.53978328819875,4
48.016009954053324,-122.53978328600046,4
48.01600996108162,-122.5397832518646,4
48.01600995874458,-122.53978324349964,4
48.01600997395827,-122.53978325490415,4
48.016009970437324,-122.53978324621067,4
48.01600997012001,-122.53978326539588,4
48.016009967240436,-122.53978325034838,4
48.01600996779615,-122.53978323072847,4
48.01600996312881,-122.53978322848084,4
48.01600996472305,-122.53978323117666,4
48.016009959567036,-122.5397832438314,4
48.01600996109195,-122.53978324495715,4
